,coincode,transactionInstant,transactionHash,amount,n-transactions
0x40e51e0ec04283e300f12f6bb98da157bb22036e,bloXmove Tok... (BLXM),2021-10-24 22:42:28,0x3557980e622f139dde34ebbfac881353a440c8c344df1b48069329d9246916e3,134.051664309276225964,1
0x0ed7e52944161450477ee417de9cd3a859b14fd0,Pancake LPs (Cake-L...),2021-10-24 22:42:28,0x45bb33d3a41cacd231ed8b025a434e13c73115f3623c1615718f2b62230c91cc,0.00286393221216624,19
0x727b531038198e27a1a4d0fd83e1693c1da94892,Block Farm C... (BFC),2021-10-24 22:42:28,0x6033523acc28b58ab488ab783c52a34e00880d81fd9a63cd59a24342d0882b8e,5,15
0x5a42e0b986af9756d47c263e9b4a54e3958c19dc,BSCS BSCS St... (BSCS-B...),2021-10-24 22:42:28,0xf2b30b7a6d0dd1c77f1647fcb0fac057cea3dfb69bca1786fd6080e6d78e62fa,16.154215277802547952,1
0x3295fde99976e6b6b477e6834b2651a22deb1dd7,Sunflower Fi... (SFO),2021-10-24 22:42:28,0x23e762e07687399c31f33b0156f56bef7b21a97b0d45d2fad58323847535450f,"58,022.10000000015",1
0x9ec132c19f2c35272de3f81a75d674752d952da8,RedBuff Toke... (REDBUF...),2021-10-24 22:42:28,0x7e2e4f73bf3abeaa3d0b7b40dd41b331c8d4b6de1fbecac07a2c89e223af592b,2.296268505825228234,1
0x3e09215cff233101c485718ad512c168a5d164f3,USDX (USDX),2021-10-24 22:42:28,0x975bfa474da76967e4c8d9b79a157270e2e9f7e7b36ca9738b9f484ef22823f2,100,1
0xf91d6e71f6d9e6dbffe92597ce0fdd76058c49a7,MoMo GEM (GEM),2021-10-24 22:42:28,0x73a19ac810042ed6398e8877089deacd74543b3e93f5cc36778fd7a45c312776,9,1
0xb3a6381070b1a15169dea646166ec0699fdaea79,CyberDragon ... (Gold),2021-10-24 22:42:28,0x0d3b56f3531493ede16a010d97436a8ebdbe49e08eb2b1df6082ad8322b84473,"2,635",19
0x33f93897e914a7482a262ef10a94319840eb8d05,Bunny QBT To... (bQBT),2021-10-24 22:42:28,0xfb6b2d52065663fcd409e3d8fda69d28550668336d3874f4af006d8667f652bd,198.466999668385166448,1
0x5ef7814f4cb17b38408f1f641e4b5b61c5d023a8,ButterSwap T... (BUTTER),2021-10-24 22:42:28,0x2b3a6b744977006e49ae9c698e245cad4b3689e0b52c4055927efe0853e01013,574.705775364332080163,25
0x4fb431848e8d36978c3ab89c5a2140f877fd155c,Rock Paper S... (RPST),2021-10-24 22:42:31,0xcf73dd8a62998fb8ee9d56794f3f87b07221942261fe5e181b022f6de82dc0e5,654.886973049,1
0xc70636a779118e57e1c6fdafdd1f919fae912d2f,MUNCH Token (MUNCH),2021-10-24 22:42:31,0xa8910f8f37dadabd22460b1cd7eb34899526cf7e018e40872363ccc9fa013e33,"1,305,445,976.481554758",1
0x18376a885f80c39d3f203916313711f3f24ea9ef,Fishy Egg (FEG),2021-10-24 22:42:31,0x897e89f6d08c175b2489d0165b62c540028b790f49a3a91e4da96acbe71c63a1,0.13,1
0xbf4c3c64f8c5ea2a6183f9fa22f8356a7ebb5f0c,MosterIsland (MI),2021-10-24 22:42:31,0xa789b0ad5383563dc491ec752a4dc84abcdb6fedaa2504885aaf5b73d2985e13,380,1
0xb6eb654fbdc697edd73174a19b074bc67c00a0c0,ACryptoS Pan... (acsCak...),2021-10-24 22:42:34,0xa2ab40aa7fbab29d5f10ecadf923e937903979384bb7fea3fb123d5dc8635506,98.69802750075848104,1
0xc739b125865101abce0e7624b189fbdb7a65adb9,Squid Game F... (SQG),2021-10-24 22:42:34,0xa5201c166eda784b578bddb7d993816360702a8dc65f574477a6dfb92789f203,0.980682007883356374,1
0xd64f7b8962ede286ac66e290b5d3e5f8f4e019fb,MEMetaverse (ME),2021-10-24 22:42:34,0xe89c7abfedcc303ed5aa35e614e96acc3f54e7d2776d4d632256a715a8e78881,34,1
0x6ddb07fb0824748ac197f9d4d157b0689bc08add,Finance Rada... (FRE),2021-10-24 22:42:34,0xf8f1d2917153354626064a60fc986e9fbbb02e530cc696fd64a73e5be6d4b2af,0.004208869766501044,1
0x4a2940263acfd179dbc1c6b69a3392671accaf5b,ShibaWallet (SHWA),2021-10-24 22:42:34,0x7fcfbe1ddf0b728a32421df6fba350ea15a1a322005d7a2a32fb42c4f4447202,"121,559.894363476779054814",1
0xccbf1c9e8b4f2cdf3bfba1098b8f56f97d219d53,ccCLO (ccCLO),2021-10-24 22:42:34,0x1016c463533f8a3cdb213ec7bae0e1dba67c9661a108f7a609c1472cfa5bf279,"4,202",1
0x1fd991fb6c3102873ba68a4e6e6a87b3a5c10271,Atlantis (ATL),2021-10-24 22:42:34,0x8c8942e907c20a5f18c55fc5ff2bdb9040e0d572574488ffbff83e2337fd6ce2,40.558416168284939351,1
0xb8cf6fea0edae293a67fe99aaf4293122b3d974a,Voting Token (VT),2021-10-24 22:42:37,0xa382fa91b118c27263b3e2242c66d8eabe58510af1cefc26b4f10c61d8327adb,"59,701,497,518",1
0x6169b3b23e57de79a6146a2170980ceb1f83b9e0,Vetter Token (VETTER),2021-10-24 22:42:37,0x72c841dd5e8b4114cf1a5700be00bcde8f772475f6e000872ab8002798037d82,"1,746.464971338",1
0x934c9198582bf2631128c5d4b051aacef9a6224f,Wanaka Wai T... (WAI),2021-10-24 22:42:37,0x9241488ab348ce877403d827191f59051da0467a8452afe18cba17b37f774756,"4,305.690549828140987578",7
0x73f67ae7f934ff15beabf55a28c2da1eeb9b56ec,NFT11 (NFT11),2021-10-24 22:42:37,0xc5194f1ed369acc3e2a043706818d588ab817a6b2a5bccf61fd3b888fa456ac6,11,1
0x608dcf5007119be85201687868a93ba9ae6f4a64,yGame (YGAME),2021-10-24 22:42:37,0xff9b6a8493b27c59ae24f0f0c79d6229a18f19b172b61e4ada375dae6bdaa818,11.830111018247320298,1
0xcda06cd0acb76c4e4386cb27e8f5112ba5912025,Good Shield (SD),2021-10-24 22:42:37,0xcf192816cc55e35c4f1df00a48b8a484033b2e1a1fdba7b9a329e5947bf1ed69,248,1
0x7cc5f3a214906ec4d2af15d9d4cb0ccffb66e01b,ZEONIS.IO (ZES),2021-10-24 22:42:37,0xf21aa75ca7023af3dfbe6052d3b90d4aa1a7866cb4ab11efb20c3b2ad6e4c89a,20,1
0x158befde95a3b2b5c915d04b0fbeefb1a542ca53,Pancake LPs (Cake-L...),2021-10-24 22:42:37,0xa18e52c8ad6708e1c71e903c967f1a1253da57748c8d63c783f08ec1d2bcb122,0.003888508690279577,1
0x763aca17f03c221d16ba9191a66f75b78a403bcb,Axienomics (AXIN),2021-10-24 22:42:40,0x3aa8eb77f66471637c642a961635f782c504eed256d0e9bbf5019d949feb81a0,"850,000,000",1
0x7f60375245cbf30a4f1ffd1278e3601fadca2c4d,SpacePort Un... (SPU),2021-10-24 22:42:40,0x17aa31b0d742ec70e12379b3e996c76dd14a1cd260619825ae22951f098723a2,0,1
0xe0d1130def49c29a4793de52eac680880fc7cb70,ibBUSD (ibBUSD),2021-10-24 22:42:40,0xdac3937b69a9aeb48597164798fbbe16fb4031f81cf2ffb7c29f988e355c3b1b,"2,007.472636172375111851",1
0xd867d3b23242de165703164cd5b7802da2c0e3d0,Cream Token (CREAM),2021-10-24 22:42:43,0xf0381b53e09bc74fe233305261df82ba6b6953f748c74bf5b552bec472fdc01a,98.462685844413254063,1
0x14b5a6d26577970953f9e6608d6604e4676ac5b7,Fins LPs (FINS-L...),2021-10-24 22:42:43,0x708561677435eedc99be6dafe8af10aeb1c6b9eb29683e7500bfbebae46414aa,0.015070784295319017,1
0x80886a38bebc61e0c6820717b60bb7355a7dd5d2,Safe Doge Co... (SAFEDO...),2021-10-24 22:42:46,0x1382ab6276e30b5300e06704e289eb7058d300846f80282cc06b128d962ae99d,"30,115,854,439,981.738932345",1
0xcccf11ecbe24ab164b902ff2a65434cd86465e97,Loves Token (LOVES),2021-10-24 22:42:46,0xa51514ebf88a15713a35220e00cfcbb6bed1f78a56fbfa822b3bc76c59e49b42,106.47,1
0xd0f08610b9bb66395b0d2679f749bbe8a12cc0bb,WeiUp (WEIUP),2021-10-24 22:42:46,0x5a7d9fad8de7e8bb0e5b7dd17dec94937d6f8bafb054d330e083b54afad96f30,"1,806,607,200",1
0xff2bf41ec57b897c914e2baac857d621f4cb1691,XTime (XTime),2021-10-24 22:42:46,0xa9aa83940c431c5c615e7d06536c8c68819bc9d9a6a43012f426747b09dddbd7,"2,155,600.999695015958353255",1
0x209318a6dd2ebae4dc75be0ffc457fe074937cd1,XTime_Divide... (XTime_...),2021-10-24 22:42:46,0xa9aa83940c431c5c615e7d06536c8c68819bc9d9a6a43012f426747b09dddbd7,"2,155,600.999695015958353255",1
0xd82c3f967e04eeef9363b9d2a3fb6c2ca3aba491,FOREVER SHIB... (SHIB),2021-10-24 22:42:46,0x256b161331618de6bf296b21e1e225343cdbcf515a116ed6c7439124a95f14ad,"7,973,370.00015",1
0x73579bcffbe784b19f8f4b93cd7c244a52c4cebb,Butter LPs (Butter...),2021-10-24 22:42:46,0x65da2c381e29c756a9d1125396167f9d3ab361ef51460acd2765ef367e00c86e,26.346917349278723089,1
0x637e0a6255e0c0619fa89c2f52c1d1ec8c18abed,BabySolana (bSOL),2021-10-24 22:42:49,0x86a53953faf1484d34c9faa5fe28cd84dddca0bbcf2997400592a6b4e4237243,"800,000,000,000",1
0xa63e32feefc6590bbf869070fd2e706eb7881bd2,Pancake LPs (Cake-L...),2021-10-24 22:42:49,0xb15ed3415e6d8b10a17cf95938bd36e842a86809dbbbeac968a12e58bce3d69b,0.004965685741634632,1
0x371b1eb93a746c801ae345255f5f29b07b36326c,PixelShibaIn... (PSHIB),2021-10-24 22:42:49,0x8f9125480b1c6daab6fc8ebf433c28f128c45aea25dcaee6d765aa62da87d9e2,"19,679,908,511.60414967931556083",1
0x0b33542240d6fa323c796749f6d6869fdb7f13ca,Ethereum Met... (ETHM),2021-10-24 22:42:49,0x46f84dbce90520c00dac5292281d48204da2025360132fdb57b4098001edf6d5,"20,970",1
0xe9c7a827a4ba133b338b844c19241c864e95d75f,FileSystemVi... (FSV),2021-10-24 22:42:49,0x9d61f7557e27aae619896749da7b33fda432dcf8fc0791fa0e480984770ed357,992.5,1
0x5cc46683c7951449d02d3e65806ddb454a8c72bc,MiniSquidGam... (MiniSq...),2021-10-24 22:42:49,0x5dfe515d79b7e1731136f4d996ebddd6e4635537fa65557a8b934a9a248694f1,"3,483,819.3",1
0x1bf7aedec439d6bfe38f8f9b20cf3dc99e3571c4,TRONPAD.netw... (TRONPA...),2021-10-24 22:42:52,0x66a66a57633c407c7a97195dba5e829c8d5217fce7ab01aba6583e2d88b853ee,350,1
0xc7b7844494c516b840a7a4575ff3e60ff0f056a9,MechMaster (MECH),2021-10-24 22:42:52,0x886411af9ec2411f20f782406204f17c3c9a1021e2ed49e33880155473b5a1dd,92.371978418628554615,1
0xda8ceb724a06819c0a5cdb4304ea0cb27f8304cf,Biswap LPs (BSW-LP),2021-10-24 22:42:52,0x91c5cf0e0dd588e51625c2df40f727b12ce28b9533aadec8b67e7254a9667694,0,1
0xcd657182a749554fc8487757612f02226355269d,Musk Token (MUSK),2021-10-24 22:42:52,0xe5231890e0f5fb22b120538c297c8c1cfcb3fba0554d41c90db9757758b4c55b,"6,181,818.181818181818181818",1
0x97e5d50fe0632a95b9cf1853e744e02f7d816677,Moo CakeV2 (mooCak...),2021-10-24 22:42:52,0xa6647939664f0cad71db1fd7aacca7705d35bc6e9ae489a8d8b10c10c53ee226,0.55669316637370344,1
